"amount","denom","address"
"1_000__000_000","upenumbra","penumbrav1t150eax6smsat5wkxr5hw0ejhl0kgh50etnwmc56pl8u2fjzdenhez8altrp6643n9ux3c6y6pew77sfsr4lynjx9tqa9cpuygjtnfsawh8a6ntxxjkqqkc20tj7f7dn96j25wen"
"100","gm","penumbrav1t150eax6smsat5wkxr5hw0ejhl0kgh50etnwmc56pl8u2fjzdenhez8altrp6643n9ux3c6y6pew77sfsr4lynjx9tqa9cpuygjtnfsawh8a6ntxxjkqqkc20tj7f7dn96j25wen"
"100","cube","penumbrav1t150eax6smsat5wkxr5hw0ejhl0kgh50etnwmc56pl8u2fjzdenhez8altrp6643n9ux3c6y6pew77sfsr4lynjx9tqa9cpuygjtnfsawh8a6ntxxjkqqkc20tj7f7dn96j25wen"
"200","pizza","penumbrav1t150eax6smsat5wkxr5hw0ejhl0kgh50etnwmc56pl8u2fjzdenhez8altrp6643n9ux3c6y6pew77sfsr4lynjx9tqa9cpuygjtnfsawh8a6ntxxjkqqkc20tj7f7dn96j25wen"
"1_000__000_000","upenumbra","penumbrav1t152xggxpc23aymp84gu8asdzzm9km556lmcmjj8h2rfhz44vq0tedvmwsut4z6vth7hmjdauugaf0qu8vevehvxwtl6kxxpy8n8lfyhjku5mvccusc66cfcucac0hay4t807z69"
"100","gm","penumbrav1t152xggxpc23aymp84gu8asdzzm9km556lmcmjj8h2rfhz44vq0tedvmwsut4z6vth7hmjdauugaf0qu8vevehvxwtl6kxxpy8n8lfyhjku5mvccusc66cfcucac0hay4t807z69"
"100","cube","penumbrav1t152xggxpc23aymp84gu8asdzzm9km556lmcmjj8h2rfhz44vq0tedvmwsut4z6vth7hmjdauugaf0qu8vevehvxwtl6kxxpy8n8lfyhjku5mvccusc66cfcucac0hay4t807z69"
"200","pizza","penumbrav1t152xggxpc23aymp84gu8asdzzm9km556lmcmjj8h2rfhz44vq0tedvmwsut4z6vth7hmjdauugaf0qu8vevehvxwtl6kxxpy8n8lfyhjku5mvccusc66cfcucac0hay4t807z69"
"1_000__000_000","upenumbra","penumbrav1t155cy4w3nc0q0nqtfa8skp358253qh8sarp427wjx6zfkf9cae6l6q2x9nrjfamuulv4xwf2jgq8x0k8t9swvy7su7gmmsftl4egtzwv6z8d6vf0z468p4x32u0rlys8xrd9s3j"
"100","gm","penumbrav1t155cy4w3nc0q0nqtfa8skp358253qh8sarp427wjx6zfkf9cae6l6q2x9nrjfamuulv4xwf2jgq8x0k8t9swvy7su7gmmsftl4egtzwv6z8d6vf0z468p4x32u0rlys8xrd9s3j"
"100","cube","penumbrav1t155cy4w3nc0q0nqtfa8skp358253qh8sarp427wjx6zfkf9cae6l6q2x9nrjfamuulv4xwf2jgq8x0k8t9swvy7su7gmmsftl4egtzwv6z8d6vf0z468p4x32u0rlys8xrd9s3j"
"200","pizza","penumbrav1t155cy4w3nc0q0nqtfa8skp358253qh8sarp427wjx6zfkf9cae6l6q2x9nrjfamuulv4xwf2jgq8x0k8t9swvy7su7gmmsftl4egtzwv6z8d6vf0z468p4x32u0rlys8xrd9s3j"
"1_000__000_000","upenumbra","penumbrav1t1590r0y3qrq27du4k2jzr3mvklrlv6ypr89enqjjc4ug75su0dext695muyd93qckyc30r6z2cnzk8ajs2pyyleytz54n7zzg274y0q7pw4ap0wzxmkqnc0960pza5934q9ytdv"
"100","gm","penumbrav1t1590r0y3qrq27du4k2jzr3mvklrlv6ypr89enqjjc4ug75su0dext695muyd93qckyc30r6z2cnzk8ajs2pyyleytz54n7zzg274y0q7pw4ap0wzxmkqnc0960pza5934q9ytdv"
"100","cube","penumbrav1t1590r0y3qrq27du4k2jzr3mvklrlv6ypr89enqjjc4ug75su0dext695muyd93qckyc30r6z2cnzk8ajs2pyyleytz54n7zzg274y0q7pw4ap0wzxmkqnc0960pza5934q9ytdv"
"200","pizza","penumbrav1t1590r0y3qrq27du4k2jzr3mvklrlv6ypr89enqjjc4ug75su0dext695muyd93qckyc30r6z2cnzk8ajs2pyyleytz54n7zzg274y0q7pw4ap0wzxmkqnc0960pza5934q9ytdv"
"1_000__000_000","upenumbra","penumbrav1t159nu4ncaht9qevacgmhwmw3t57ltrnuhhm9cl02m8dx45qfl5zn5vs2usxs3t32wjt47x2h0kg4ktt5ezq34rctlens8mmp0n0xm2y0vkznxanje5vq3rk0s97tnjrg69r5jgj"
"100","gm","penumbrav1t159nu4ncaht9qevacgmhwmw3t57ltrnuhhm9cl02m8dx45qfl5zn5vs2usxs3t32wjt47x2h0kg4ktt5ezq34rctlens8mmp0n0xm2y0vkznxanje5vq3rk0s97tnjrg69r5jgj"
"100","cube","penumbrav1t159nu4ncaht9qevacgmhwmw3t57ltrnuhhm9cl02m8dx45qfl5zn5vs2usxs3t32wjt47x2h0kg4ktt5ezq34rctlens8mmp0n0xm2y0vkznxanje5vq3rk0s97tnjrg69r5jgj"
