200000, penumbra,      penumbrav0t1na5duj20at9k3faq8cvqf3ykk0vkh326q2klp9phz5vp2ndy3mnqx9x28yzrdxyc0p9qv68j4zegs4augceu6nj9g9ylnmxu0eg7st3mshkhsqjy7248x2gszpsfj9
2000,   pizza,         penumbrav0t1na5duj20at9k3faq8cvqf3ykk0vkh326q2klp9phz5vp2ndy3mnqx9x28yzrdxyc0p9qv68j4zegs4augceu6nj9g9ylnmxu0eg7st3mshkhsqjy7248x2gszpsfj9
200,    tungsten_cube, penumbrav0t1na5duj20at9k3faq8cvqf3ykk0vkh326q2klp9phz5vp2ndy3mnqx9x28yzrdxyc0p9qv68j4zegs4augceu6nj9g9ylnmxu0eg7st3mshkhsqjy7248x2gszpsfj9
400,    gm,            penumbrav0t1na5duj20at9k3faq8cvqf3ykk0vkh326q2klp9phz5vp2ndy3mnqx9x28yzrdxyc0p9qv68j4zegs4augceu6nj9g9ylnmxu0eg7st3mshkhsqjy7248x2gszpsfj9
400,    gn,            penumbrav0t1na5duj20at9k3faq8cvqf3ykk0vkh326q2klp9phz5vp2ndy3mnqx9x28yzrdxyc0p9qv68j4zegs4augceu6nj9g9ylnmxu0eg7st3mshkhsqjy7248x2gszpsfj9
200000, penumbra,      penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
2000,   pizza,         penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
200,    tungsten_cube, penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
400,    gm,            penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
400,    gn,            penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
200000, penumbra,      penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef
2000,   pizza,         penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef
200,    tungsten_cube, penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef
400,    gm,            penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef
400,    gn,            penumbrav0t1lvuh7w9judw4wgdjkqmt7jc9crtsssz9phz7e2cxcdeeqeulcz8pzegnkkc2hen8l9nslvqrp2x5vhuvxtd8vyt22lm7g566nveg2y4zzve2vk25jgs29pqtpmguef
200000, penumbra,      penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws
2000,   pizza,         penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws
200,    tungsten_cube, penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws
400,    gm,            penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws
400,    gn,            penumbrav0t1hqllugj25ql7efk4pxmglj8ywax9n94p3vlh0kxwanyrepcnsvkurgmc3q3ejnjdtg2qq6xj8txcwdlvyspzwysyu33f9s5qzysc6sv4wyf4fj6drze9ltcfw6cpws
200000, penumbra,      penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45
2000,   pizza,         penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45
200,    tungsten_cube, penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45
400,    gm,            penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45
400,    gn,            penumbrav0t1jwjg4yjw7mhcz73mu6yxr3wf6ez6r8pftpfxvr5f5datns4wcqpyl3ls8qw8jzdf4tuqgl46kwqean77lr9f2k599f09fjxv4qgyfczghwgzy05es0zke2cvgkwc45
5000,   nala,          penumbrav0t14k6uhn8pnuvm869h3kgfywk03cn8nxv4fgu2ehdjdrgk2277lgsp7qrzduzyka2v3pfsy8py259ge9eq36nq8czsjgjsm5rv28s9mq54z3yw3veyz52lt0qsfp29w3
