"amount","denom","address"
"10_000","pizza","penumbrav2t1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvke9y6lw"
"100","cube","penumbrav2t1xap8sgefy9rl2nfvsse0h4y6c25hy2n20ymr5w7hs28m9xemt3tmz88atyulswumc32sv7h937wnfhyct282de66zm75nk6ywq3d4r32p5ju0cnscj2rraesnrxr9lvke9y6lw"
"1_000__000_000","upenumbra","penumbrav2t107dw5ndlqpmmz6z0dacexphdy3huxsagan9gwdesnwscwcphgym44spn53xnz4csmrajenf6pt47f8ucwqx4acpv8dg646ky5mlq85luytu2u5jqmpnpt48klrc0800qal4eyr"
"1_000__000_000","upenumbra","penumbrav2t10s2p894fzjr7hzteqttpfwllfv7t2qtdh7eq46e2kcx9c2wygxdla8wfe7wqua5m2epudnczgl5jh4mn80k977gqwmcqmnnfqh34p7fjcxyrw5zp4c7vff5jvrlhrd5w5qkczm"
"1_000__000_000","upenumbra","penumbrav2t12qk5ks0dh9umullq9v320gqecklqf8ppqdyjll6uqwpej5k8y5wd30qetqfvvqde3npvjyrerxsx4ufz7snpnx0k68qmmt9kd7f960kxey0s0c7m8l82dngxna6sq4tk0ys9tr"
"1_000__000_000","upenumbra","penumbrav2t1387x2934ttgtysw3kz3pw56r2pazdl7rklaxfy5c26avl8s5p26dprqz02n9mxm23lt6f2qmljnj05gyq7q3vn5qlfu9y6u48ymcnhta3fl5egusga4vm440kq7u0v85gg48eq"
"1_000__000_000","upenumbra","penumbrav2t14dq23hfqx6mfhrhze5x8r7xd3c08lzf0mcxnxqv3qrrscg5z2mh2ysp5hwcd5k9zqaz0w9hgwk5zg8uul5vqvp9xtu9sdj80ufchcecsnvgu0ckeff7ew4tutad9dyy72qy5rd"
"1_000__000_000","upenumbra","penumbrav2t14juszumtka940203kz7qrpqjaa8fkpv33t4xhkucnswfhvhxs395gltmusyna3jpt693qmv2cl26lx7n4czl8fypd5vp4vkpqhrds583xsp2n0203f6kf0u5h6khhd2ny3t5ux"
"1_000__000_000","upenumbra","penumbrav2t14lv3k8l3cnmlcmg0mtmfutv9h8qzeuhxq7hj6v7u9wjefezxy9d7chpqjsu85k34fjwdasqd8eyn6gkweand9squxtapj7qk8nywlqla53adcu5kdj2z8e9w8a3qe2q9ma5jln"
"1_000__000_000","upenumbra","penumbrav2t156t9s3s0786ghjnpk20jjaweqyeavfevpd7rkjycllu5qtevuuy69j948fy6gpgwptl2mgcgl0u5mw8glk38puggxx290cryz6pvxde3vgv4tuuey4rlrpf2smes5wt2m957r9"
"1_000__000_000","upenumbra","penumbrav2t17hgv6jf62y8asky97qd57nf0qyahw757z7gf9dkujk6n7np53ufv3c22vr2t8q2xqcx3qq70umxjd2xnwk5dmlxcxwrpw9ujpa53qnjrw8kvevk7hluau8c2p6jm4pzcwvqv2c"
"1_000__000_000","upenumbra","penumbrav2t17pgqwwwenhghhspl2e3vdhl8k2nj29x0nzwyulspf2tqkrau0ce366ztjsjsp48fvq4u2cruyr3c9mg7je8ud8x7mcsp6s76s383knymhu7zf4xj7z5a2mwzvn0umzu2mqvzm4"
"1_000__000_000","upenumbra","penumbrav2t17rnt8uc3zqynkkznh3xym4fr3mpe62tje9fsypu6cdtjtxdelgfc4hkh5cy9whg6tm69s3dnlytqll3x0qd98f9zduaaats0utw43tf73h5gjs5dlufl75yjt750jgrermrzwu"
"1_000__000_000","upenumbra","penumbrav2t17rphtsgt000nl58djhxpka3sxz4xe806jm2s68elynlhx4yyhp48pxq9ttkvgyysd5k6h5eyhv0hcak675n5ncdp9prtd7a8fhxxlppza36xan7zd7fkyktpu82c9w2y2jtzhw"
"1_000__000_000","upenumbra","penumbrav2t18g5p5ma2l3gztfzypsdgv9zhpgdxdyfdk7ynlr4hpw49fwuhgtynerpud5f7p500yx6t5z3kttnpxvcuvexcnwd84xne8z982pnk0tfdqvdwn88x7y4cykvcs0rncnf2rykvtt"
"1_000__000_000","upenumbra","penumbrav2t18xatkl0yhgarphdmxlds6kde97z6harmf4d3d0enu62sea88x0xvhenkc2slz79jwarakkckl86p625ah2m0nhdq2vzfnsgaynvyrm2yu8675ne8wq2mj3su9cncraj2tln0r2"
"1_000__000_000","upenumbra","penumbrav2t198ea0l3vjlaqf4a4rp8j8q8tt79zp5wn3yxeemggtzv8e7pmjldkhgn8hkypkgwzwxkl5e8mldlmlqujqtqnykhwj2cgafrqa3kmqgj0l3q5rl7w0xkqw7zzzsgauqzd9t2w58"
