"amount","denom","address"
"100","gm","penumbrav1t1ptlqkau5mltp0k7x2znytuywe056cmacjhkq9lp6z3l9epdn9n6r4dad475weuy80fjkay8tj6kd0k34yfnxqhgj2jt4f9rd6x3pa5jshad3zd2x06k5tc3nsryc4u54l3k4p0"
"1","cube","penumbrav1t1ptlqkau5mltp0k7x2znytuywe056cmacjhkq9lp6z3l9epdn9n6r4dad475weuy80fjkay8tj6kd0k34yfnxqhgj2jt4f9rd6x3pa5jshad3zd2x06k5tc3nsryc4u54l3k4p0"
"1_000__000_000","upenumbra","penumbrav1t1px7xjuxa3zgkx8q2aeysgjy68cgkv65eg3ed95f53eg5dd63w54sufaqy4hu6gyu5tnzl82jmzp685evssejq77k2h0jjrcmkzc483uhj4h9sdstk0uv58kjdkfjx26k2nh4ln"
"100","gm","penumbrav1t1px7xjuxa3zgkx8q2aeysgjy68cgkv65eg3ed95f53eg5dd63w54sufaqy4hu6gyu5tnzl82jmzp685evssejq77k2h0jjrcmkzc483uhj4h9sdstk0uv58kjdkfjx26k2nh4ln"
"1","cube","penumbrav1t1px7xjuxa3zgkx8q2aeysgjy68cgkv65eg3ed95f53eg5dd63w54sufaqy4hu6gyu5tnzl82jmzp685evssejq77k2h0jjrcmkzc483uhj4h9sdstk0uv58kjdkfjx26k2nh4ln"
"1_000__000_000","upenumbra","penumbrav1t1pzfhmc00kg02d88slu93aq3r0609qrecax80xwgzj46m0z3encmwmsys4srj955f4x940v8g35q624f633g0632wyajulw23778yuvppvyj73kwczqvs8m74qhdx0etmlqwfc7"
"100","gm","penumbrav1t1pzfhmc00kg02d88slu93aq3r0609qrecax80xwgzj46m0z3encmwmsys4srj955f4x940v8g35q624f633g0632wyajulw23778yuvppvyj73kwczqvs8m74qhdx0etmlqwfc7"
"1","cube","penumbrav1t1pzfhmc00kg02d88slu93aq3r0609qrecax80xwgzj46m0z3encmwmsys4srj955f4x940v8g35q624f633g0632wyajulw23778yuvppvyj73kwczqvs8m74qhdx0etmlqwfc7"
"1_000__000_000","upenumbra","penumbrav1t1pzp6xdkux4uqjlgthc66mh3c35jqzzt6x6ey3wyn4yaez62w5len4akgts5jnkyrfky4g9vhlpmujkxcs28yn7mgk5qqrqth2z4yklqqmavy2p4vzuq9zxnq3qw7e6e4nucsfs"
"100","gm","penumbrav1t1pzp6xdkux4uqjlgthc66mh3c35jqzzt6x6ey3wyn4yaez62w5len4akgts5jnkyrfky4g9vhlpmujkxcs28yn7mgk5qqrqth2z4yklqqmavy2p4vzuq9zxnq3qw7e6e4nucsfs"
"1","cube","penumbrav1t1pzp6xdkux4uqjlgthc66mh3c35jqzzt6x6ey3wyn4yaez62w5len4akgts5jnkyrfky4g9vhlpmujkxcs28yn7mgk5qqrqth2z4yklqqmavy2p4vzuq9zxnq3qw7e6e4nucsfs"
"1_000__000_000","upenumbra","penumbrav1t1q004zhckpsapplf0qtdjh5fuxgs0ytdyz2vvpv28xmk3veeh0jarurmee0m45msh77hzv46dh4kmxcxhees0rq5ggtk5xp269kkq7hy3rc6h7esg8def4vztalk0x2nhtg7fe6"
"100","gm","penumbrav1t1q004zhckpsapplf0qtdjh5fuxgs0ytdyz2vvpv28xmk3veeh0jarurmee0m45msh77hzv46dh4kmxcxhees0rq5ggtk5xp269kkq7hy3rc6h7esg8def4vztalk0x2nhtg7fe6"
"1","cube","penumbrav1t1q004zhckpsapplf0qtdjh5fuxgs0ytdyz2vvpv28xmk3veeh0jarurmee0m45msh77hzv46dh4kmxcxhees0rq5ggtk5xp269kkq7hy3rc6h7esg8def4vztalk0x2nhtg7fe6"
"1_000__000_000","upenumbra","penumbrav1t1q082nx0md6s3g3muhamae5c3j9aa0kl2we5cp0ghyat2umj5vqvkc5h4qx0n658rqdrhnkf63t3cgeta2tye7fyp8n5lawl088f5jv02dvq494pkskyjyw6vujulfkjzwcmx8k"
"100","gm","penumbrav1t1q082nx0md6s3g3muhamae5c3j9aa0kl2we5cp0ghyat2umj5vqvkc5h4qx0n658rqdrhnkf63t3cgeta2tye7fyp8n5lawl088f5jv02dvq494pkskyjyw6vujulfkjzwcmx8k"
"1","cube","penumbrav1t1q082nx0md6s3g3muhamae5c3j9aa0kl2we5cp0ghyat2umj5vqvkc5h4qx0n658rqdrhnkf63t3cgeta2tye7fyp8n5lawl088f5jv02dvq494pkskyjyw6vujulfkjzwcmx8k"
"1_000__000_000","upenumbra","penumbrav1t1q0fx6ckutg8j4js7rk35g29dwwzr7fe9lz3yeuye9me6pyh4l6zmygse4mnq74rjtvulf8tkysf80uqvtqwml0mjtz87ysxdy8xchcdp7nvxg2p6cfya7m4x7a2snantna7w3t"
"100","gm","penumbrav1t1q0fx6ckutg8j4js7rk35g29dwwzr7fe9lz3yeuye9me6pyh4l6zmygse4mnq74rjtvulf8tkysf80uqvtqwml0mjtz87ysxdy8xchcdp7nvxg2p6cfya7m4x7a2snantna7w3t"
"1","cube","penumbrav1t1q0fx6ckutg8j4js7rk35g29dwwzr7fe9lz3yeuye9me6pyh4l6zmygse4mnq74rjtvulf8tkysf80uqvtqwml0mjtz87ysxdy8xchcdp7nvxg2p6cfya7m4x7a2snantna7w3t"
